text,intent
which brands do you sell,inventory
what cars do you sell,inventory
which vehicle brands,inventory
available car brands,inventory
car brands you offer,inventory
what vehicles in stock,inventory
what makes of cars do you stock,inventory
brands available,inventory
do you have toyota,inventory
do you sell toyota,inventory
do you have honda,inventory
do you sell honda,inventory
do you have nissan,inventory
do you sell nissan,inventory
do you have suzuki,inventory
do you sell suzuki,inventory
do you have any japanese cars,inventory
what models available,inventory
tell me the brands you have in stock,inventory
what are the vehicle brands at your dealership,inventory
do you have luxury cars,inventory
show me your car brands,inventory
which car brands are available,inventory
prices,price_general
how much are your cars,price_general
car prices,price_general
are your cars expensive,price_general
when are you open,hours
business hours,hours
opening times,hours
what are your opening hours,hours
test drive,test_drive
can I drive a car,test_drive
try before buy,test_drive
what do you offer,services
services,services
do you buy cars,services
trade ins,services
bye,goodbye
goodbye,goodbye
thank you,goodbye
thanks,goodbye
see you later,goodbye
farewell,goodbye
have a good day,goodbye
take care,goodbye
cheers,goodbye
adios,goodbye
tell me about you,dealership_info_about
who are you,dealership_info_about
what is KS Auto-Sale,dealership_info_about
about us,dealership_info_about
what can you tell me about this dealership,dealership_info_about
information about KS Auto-Sale,dealership_info_about
could you tell me more about KS Auto-Sale,dealership_info_about
what's the story of KS Auto-Sale,dealership_info_about
how would you describe KS Auto-Sale,dealership_info_about
can you give me some background on KS Auto-Sale,dealership_info_about
who founded you,dealership_info_founders
who are the founders,dealership_info_founders
who owns KS Auto-Sale,dealership_info_founders
who started this dealership,dealership_info_founders
who established KS Auto-Sale,dealership_info_founders
tell me about the people behind KS Auto-Sale,dealership_info_founders
who are the key people at KS Auto-Sale,dealership_info_founders
who are the creators of KS Auto-Sale,dealership_info_founders
who were the initiators of KS Auto-Sale,dealership_info_founders
can you tell me about the ownership of KS Auto-Sale,dealership_info_founders
can i test drive a car,services_test_drive
test drive availability,services_test_drive
can i schedule a test drive,services_test_drive
are test drives possible,services_test_drive
how can i book a test drive,services_test_drive
can i try out a vehicle,services_test_drive
do you offer test drives,services_test_drive
test driving options,services_test_drive
can i take a car for a spin,services_test_drive
arranging a test drive,services_test_drive
do you accept trade-ins,services_trade_in
can i trade in my car,services_trade_in
trade-in options,services_trade_in
do you take used cars as trade-in,services_trade_in
can i exchange my old car for a new one,services_trade_in
trade in value,services_trade_in
selling my car to you,services_trade_in
can i trade my vehicle,services_trade_in
do you offer car trade-in services,services_trade_in
what's your trade-in policy,services_trade_in
do you offer financing,unsupported
what are the loan rates,unsupported
can i get an installment plan,unsupported
about car loans,unsupported
financing options,unsupported
loan inquiries,unsupported
installment plans,unsupported
car financing details,unsupported
financial assistance for car purchase,unsupported
can you help with vehicle loans,unsupported
who owns KS Auto-Sale,founders
who are the founders of KS Auto-Sale,founders
who started KS Auto-Sale,founders
who is the owner of KS Auto-Sale,founders
who established KS Auto-Sale,founders
who founded KS Auto-Sale,founders
who are the owners of KS Auto-Sale,founders
founders of KS Auto-Sale,founders
KS Auto-Sale founders,founders
how much are your cars,pricing
what are your prices,pricing
price of cars,pricing
car prices,pricing
how much for a car,pricing
price range,pricing
how much do cars cost,pricing
price of vehicles,pricing
cost of cars,pricing
what's the cheapest car,pricing
what's the most expensive,pricing
are your cars expensive,pricing
can you give me a price range,pricing
tell me about pricing,pricing
how much are the vehicles you have,pricing
what is your pricing structure,pricing
how much do your cars cost on average,pricing
are the prices negotiable,pricing
can I get a discount,pricing
where are you located,location
address of KS Auto-Sale,location
location of dealership,location
address,location
location,location
how to find you,location
where is ks auto,location
directions,location
showroom location,location
what is your address,location
where can I find you,location
how to get to your dealership,location
directions to ks auto-sale,location
your physical address,location
where in Nittambuwa are you,location
site of your business,location
can you tell me where you are situated,location
send me your address,location
do you offer financing,financing_options
how can I finance a car,financing_options
payment plans,financing_options
installment options,financing_options
car loan options,financing_options
can I pay monthly,financing_options
vehicle financing available,financing_options
financing details,financing_options
do you have hire purchase,financing_options
what financing options do you offer,financing_options
do cars come with warranty,warranty_info
vehicle warranty,warranty_info
car warranty details,warranty_info
warranty available,warranty_info
do you provide warranty,warranty_info
warranty coverage,warranty_info
do used cars have warranty,warranty_info
what warranty do I get,warranty_info
are cars under warranty,warranty_info
how long is the warranty,warranty_info
are cars new,vehicle_condition
do you sell used cars,vehicle_condition
are vehicles brand new,vehicle_condition
used or new cars,vehicle_condition
condition of vehicles,vehicle_condition
do you sell reconditioned vehicles,vehicle_condition
are your cars second hand,vehicle_condition
vehicle condition details,vehicle_condition
what condition are the cars in,vehicle_condition
pre-owned cars,vehicle_condition
can I order a car,import_orders
special orders,import_orders
import a vehicle,import_orders
order a car from japan,import_orders
vehicle import options,import_orders
can you import cars,import_orders
special import,import_orders
how to order a vehicle,import_orders
do you do custom orders,import_orders
ordering vehicles,import_orders
do you provide insurance,vehicle_insurance
vehicle insurance,vehicle_insurance
can I get insurance here,vehicle_insurance
car insurance assistance,vehicle_insurance
insurance options,vehicle_insurance
do you offer insurance with purchase,vehicle_insurance
insurance support,vehicle_insurance
help with insurance,vehicle_insurance
can I insure my car through you,vehicle_insurance
insurance services,vehicle_insurance
after sales support,after_sales_service
do you provide servicing,after_sales_service
post sale service,after_sales_service
car maintenance,after_sales_service
can you service my car,after_sales_service
after sale care,after_sales_service
vehicle service options,after_sales_service
do you offer servicing,after_sales_service
maintenance support,after_sales_service
service after buying,after_sales_service
can I reserve a car,reservation_policy
reservation policy,reservation_policy
how to book a car,reservation_policy
can I hold a car,reservation_policy
vehicle reservation,reservation_policy
how long can I reserve,reservation_policy
booking a car,reservation_policy
car reservation,reservation_policy
reservation terms,reservation_policy
can I pay a deposit,reservation_policy
do you export cars,export_services
car export,export_services
export vehicles,export_services
can you ship overseas,export_services
export services,export_services
can you export to another country,export_services
vehicle shipping,export_services
can you send cars abroad,export_services
exporting cars,export_services
export car process,export_services
do you handle registration,vehicle_registration
vehicle registration help,vehicle_registration
can you register the car for me,vehicle_registration
registration services,vehicle_registration
registering my car,vehicle_registration
do you assist with vehicle registration,vehicle_registration
car registration process,vehicle_registration
can you arrange registration,vehicle_registration
register car after purchase,vehicle_registration
registration included,vehicle_registration
what is your refund policy,refund_policy
can I get a refund,refund_policy
returning a car,refund_policy
refund options,refund_policy
is refund possible,refund_policy
vehicle return policy,refund_policy
can I return the vehicle,refund_policy
money back policy,refund_policy
refund conditions,refund_policy
can I cancel purchase,refund_policy
